public_unit_id,family,seed,control_type,edited_object,delta_vx,delta_vy,M1,joint_pass,anchor_rmse,k1_rmse,t19_rmse
joint-2a931d7a53cb9c33974d,M1,291301,sham,0,0.0660007618367672,-0.0660007618367672,0.2192714462973432,true,0.03881173084336871,0.04270720622597466,0.15957597643919405
joint-4352a0ffd3ac22d2f5e6,M1,291301,sham,1,0.0660007618367672,-0.0660007618367672,0.16964812710166668,true,0.03242573659888231,0.03341305580677991,0.0980282157882916
joint-147f59a58d0ef285e900,M1,291301,sham,0,0.0660007618367672,-0.1320015236735344,0.354943484910215,true,0.05951991050681326,0.06282279050176912,0.27052313499009917
joint-d0326bfd1d59b011ffc1,M1,291301,sham,0,0.1320015236735344,0.0660007618367672,0.3488084102176669,true,0.05441693257281657,0.05825256278216214,0.17742274314958084
joint-b0a6408213b275a6eec4,M1,291301,sham,0,-0.1320015236735344,0.0660007618367672,0.30658515567783234,true,0.04853368713567667,0.04840976487157738,0.15309521613804664
joint-f16075ae76c562b01afa,M1,291301,sham,1,0.1320015236735344,0.0660007618367672,0.3325432823828196,true,0.05163927846456661,0.052287097822909696,0.2705973313037974
joint-6c84dffefac07a85efd4,M1,291301,sham,1,0.1320015236735344,-0.1320015236735344,0.38311182917927944,true,0.06618842334531738,0.06826556415941673,0.2019779762999201
joint-530af393a720d348afb0,M1,291301,sham,1,0.0660007618367672,0.0660007618367672,0.21167547805845258,true,0.03265630141417781,0.03252598890557758,0.09212985089240344
joint-66b0d86cfbc4d904308f,M1,291301,sham,0,-0.0660007618367672,0.0660007618367672,0.1730347561840357,true,0.03531917634327286,0.03441452094220775,0.10416129748547506
joint-cb84ae0ab47be6c0b097,M1,291301,sham,0,-0.0660007618367672,0.1320015236735344,0.3911794852479955,false,0.05745420802032028,0.05952375731504058,0.18205189543974404
joint-bd7b1bc3eac5c32be6ce,M1,291301,sham,0,-0.0660007618367672,-0.0660007618367672,0.15650858884768704,true,0.030261650274010295,0.030024677075331897,0.13854772148686578
