panel,model_id,stratum,control,denominator,intended_median_anchor,control_median_anchor,dominance_fraction_anchor,intended_median_future,control_median_future,dominance_fraction_future,pair_pass
development_baseline,development_model_1,S1_no_contact,no_patch,256,0.06539496538239115,0.333405691901113,1.0,0.06341582185733699,0.18050772478388188,1.0,true
development_baseline,development_model_1,S2_interaction_sensitive,no_patch,256,0.06094501708240781,0.3489959902006231,1.0,0.09096073954057964,0.2772581894722008,0.99609375,true
development_baseline,development_model_2,S1_no_contact,no_patch,256,0.12079172547106243,0.3314852840876106,1.0,0.08583781592425413,0.17816387596579922,0.9296875,true
development_baseline,development_model_2,S2_interaction_sensitive,no_patch,256,0.07088964449550966,0.3488613814064124,1.0,0.10118196116973253,0.2837137519196159,0.9921875,true
development_baseline,development_model_3,S1_no_contact,no_patch,256,0.12859271679251322,0.3308150354688941,0.9921875,0.10757347349826918,0.17918404701437918,0.74609375,false
development_baseline,development_model_3,S2_interaction_sensitive,no_patch,256,0.16662229693512282,0.3450679086193218,0.93359375,0.16804058115255793,0.27843467320397214,0.95703125,true
development_baseline,development_model_1,S1_no_contact,random_equal_norm,256,0.06539496538239115,0.3277352585451173,1.0,0.06341582185733699,0.18568313053742527,1.0,true
development_baseline,development_model_1,S2_interaction_sensitive,random_equal_norm,256,0.06094501708240781,0.35575099517859643,1.0,0.09096073954057964,0.2810518030371129,0.99609375,true
development_baseline,development_model_2,S1_no_contact,random_equal_norm,256,0.12079172547106243,0.33734908352654536,1.0,0.08583781592425413,0.18329111319529595,0.94921875,true
development_baseline,development_model_2,S2_interaction_sensitive,random_equal_norm,256,0.07088964449550966,0.34548924390242536,0.99609375,0.10118196116973253,0.28482768447986473,0.9921875,true
development_baseline,development_model_3,S1_no_contact,random_equal_norm,256,0.12859271679251322,0.3286296225359969,0.9765625,0.10757347349826918,0.18202709486454002,0.75,false
development_baseline,development_model_3,S2_interaction_sensitive,random_equal_norm,256,0.16662229693512282,0.3390441786947319,0.91796875,0.16804058115255793,0.28327361361602943,0.94140625,true
development_baseline,development_model_1,S1_no_contact,wrong_object,256,0.06539496538239115,0.33769312103246385,1.0,0.06341582185733699,0.2545304001613615,1.0,true
development_baseline,development_model_1,S2_interaction_sensitive,wrong_object,256,0.06094501708240781,0.34577762289826314,1.0,0.09096073954057964,0.38243221380465164,1.0,true
development_baseline,development_model_2,S1_no_contact,wrong_object,256,0.12079172547106243,0.3327117003000758,1.0,0.08583781592425413,0.2487593046330416,0.99609375,true
development_baseline,development_model_2,S2_interaction_sensitive,wrong_object,256,0.07088964449550966,0.3465537248462429,1.0,0.10118196116973253,0.3769360185557391,1.0,true
development_baseline,development_model_3,S1_no_contact,wrong_object,256,0.12859271679251322,0.328091689520872,0.93359375,0.10757347349826918,0.25436339612112413,0.94921875,true
development_baseline,development_model_3,S2_interaction_sensitive,wrong_object,256,0.16662229693512282,0.3470820242351712,0.94921875,0.16804058115255793,0.37917388965910426,0.99609375,true
independent_replication_baseline,replication_model_1,S1_no_contact,no_patch,256,0.1368679958149726,0.3418820085705584,1.0,0.10669559166250442,0.18241846211920815,0.94140625,true
independent_replication_baseline,replication_model_1,S2_interaction_sensitive,no_patch,256,0.13101940316566535,0.34219909085226746,1.0,0.138539161008466,0.27502112805774637,0.99609375,true
independent_replication_baseline,replication_model_2,S1_no_contact,no_patch,256,0.06496914804818635,0.34175668672591963,1.0,0.06321724161021922,0.18113270901264994,1.0,true
independent_replication_baseline,replication_model_2,S2_interaction_sensitive,no_patch,256,0.07182948008833265,0.3466717444400826,1.0,0.14107879979868565,0.2763501850498785,0.99609375,true
independent_replication_baseline,replication_model_3,S1_no_contact,no_patch,256,0.20828514102464296,0.3352075183797132,0.98828125,0.13706230329095984,0.18411489039956383,0.6328125,false
independent_replication_baseline,replication_model_3,S2_interaction_sensitive,no_patch,256,0.14728978498088768,0.344441785124851,1.0,0.16695660478103,0.27319172072165787,0.99609375,true
independent_replication_baseline,replication_model_1,S1_no_contact,random_equal_norm,256,0.1368679958149726,0.33638554387410596,1.0,0.10669559166250442,0.18619412120155854,0.921875,true
independent_replication_baseline,replication_model_1,S2_interaction_sensitive,random_equal_norm,256,0.13101940316566535,0.35155395359164576,1.0,0.138539161008466,0.2846367045160417,0.98046875,true
independent_replication_baseline,replication_model_2,S1_no_contact,random_equal_norm,256,0.06496914804818635,0.3438543063521925,1.0,0.06321724161021922,0.1863111067618205,1.0,true
independent_replication_baseline,replication_model_2,S2_interaction_sensitive,random_equal_norm,256,0.07182948008833265,0.3448710122080788,1.0,0.14107879979868565,0.2855448736760558,0.99609375,true
independent_replication_baseline,replication_model_3,S1_no_contact,random_equal_norm,256,0.20828514102464296,0.33861949880899767,0.9140625,0.13706230329095984,0.18502401501479723,0.6328125,false
independent_replication_baseline,replication_model_3,S2_interaction_sensitive,random_equal_norm,256,0.14728978498088768,0.3404001628781387,1.0,0.16695660478103,0.2763801568734875,0.99609375,true
independent_replication_baseline,replication_model_1,S1_no_contact,wrong_object,256,0.1368679958149726,0.34201271461939364,1.0,0.10669559166250442,0.2625711510760953,0.9765625,true
independent_replication_baseline,replication_model_1,S2_interaction_sensitive,wrong_object,256,0.13101940316566535,0.3440272049803746,1.0,0.138539161008466,0.3865490559950142,1.0,true
independent_replication_baseline,replication_model_2,S1_no_contact,wrong_object,256,0.06496914804818635,0.33924330667096325,1.0,0.06321724161021922,0.25149007394804695,1.0,true
independent_replication_baseline,replication_model_2,S2_interaction_sensitive,wrong_object,256,0.07182948008833265,0.3492095266111388,1.0,0.14107879979868565,0.3815140585620236,1.0,true
independent_replication_baseline,replication_model_3,S1_no_contact,wrong_object,256,0.20828514102464296,0.33394767734454894,0.9375,0.13706230329095984,0.25137062823927836,0.87890625,true
independent_replication_baseline,replication_model_3,S2_interaction_sensitive,wrong_object,256,0.14728978498088768,0.3482602681407883,1.0,0.16695660478103,0.3801248088651486,1.0,true
