model_id,unit_id,stratum,route,metric_m1_x,metric_m1_y,metric_m2,metric_m3,metric_m4,metric_m5,paired_anchor_error,paired_future_error,unit_pass,autonomous_transition_count
development_model_1,joint_unit_0002,S1_no_contact,addressable_affine_composed,0.09924531082539077,0.030969474563918683,0.11046492466919632,0.03638203197051874,0.024673850529933424,2.86448635160923,0.09924531082539077,0.03638203197051874,true,12
development_model_1,joint_unit_0003,S1_no_contact,addressable_affine_composed,0.19149156879419915,0.1560749034878295,0.3294408646120791,0.13917981420323638,0.027162448434831538,1.8344508484005928,0.19149156879419915,0.13917981420323638,true,12
development_model_1,joint_unit_0005,S1_no_contact,addressable_affine_composed,0.05266097364651688,0.026072286547609045,0.13726991386351778,0.08510607865501527,0.05453311723923518,4.757881537079811,0.05266097364651688,0.08510607865501527,true,12
development_model_1,joint_unit_0006,S1_no_contact,addressable_affine_composed,0.0493074983787066,0.029359094403890507,0.08786378549471606,0.0522749688543276,0.06265776371096643,1.8183179199695587,0.0493074983787066,0.0522749688543276,true,12
development_model_1,joint_unit_0010,S1_no_contact,addressable_affine_composed,0.006380475831467812,0.06659563100554047,0.09441595288457061,0.03944087364911046,0.05339447906343638,3.0712375417351723,0.06659563100554047,0.03944087364911046,true,12
development_model_1,joint_unit_0011,S1_no_contact,addressable_affine_composed,0.1629882025712115,0.09275795915437446,0.22749357069771203,0.19253920446180595,0.034868862678346185,2.1676169708371162,0.1629882025712115,0.19253920446180595,true,12
development_model_1,joint_unit_0012,S1_no_contact,addressable_affine_composed,0.15014199532861558,0.12501408882922146,0.23347145415086967,0.14460749623413477,0.026954226483372784,1.9853500649333,0.15014199532861558,0.14460749623413477,true,12
development_model_1,joint_unit_0013,S1_no_contact,addressable_affine_composed,0.07982865331442611,0.08126976390336724,0.18668619253648125,0.09739137616666108,0.043541361081980826,1.4990187250077724,0.08126976390336724,0.09739137616666108,true,12
development_model_1,joint_unit_0014,S1_no_contact,addressable_affine_composed,0.012092154966901596,0.06943068863238021,0.12703965702228734,0.09874391988325415,0.035869091753172495,1.201856043189764,0.06943068863238021,0.09874391988325415,true,12
development_model_1,joint_unit_0019,S1_no_contact,addressable_affine_composed,0.08815108227069719,0.09031258785425186,0.10054360449797758,0.09678066416108037,0.044630999202037905,0.6204971577972174,0.09031258785425186,0.09678066416108037,true,12
development_model_1,joint_unit_0020,S1_no_contact,addressable_affine_composed,0.11629690606790641,0.08478244683241058,0.15934472261618376,0.08309420460366866,0.023423881252513195,3.3959370106458664,0.11629690606790641,0.08309420460366866,true,12
development_model_1,joint_unit_0022,S1_no_contact,addressable_affine_composed,0.0408860734927817,0.02978763163682816,0.08410280288497142,0.06429854675055342,0.0561847811696602,2.2930005565285683,0.0408860734927817,0.06429854675055342,true,12
development_model_1,joint_unit_0023,S1_no_contact,addressable_affine_composed,0.01284823851476765,1.4413496849936282e-05,0.04822795586541764,0.052021752781061366,0.0375937798848412,0.8372337557375431,0.01284823851476765,0.052021752781061366,true,12
development_model_1,joint_unit_0025,S1_no_contact,addressable_affine_composed,0.080940977906783,0.05140723290205129,0.11848771482994488,0.07180769702025332,0.02912250894293233,0.5720482673496008,0.080940977906783,0.07180769702025332,true,12
development_model_1,joint_unit_0027,S1_no_contact,addressable_affine_composed,0.015937764505459282,0.02446681323960918,0.048555152651310565,0.041153420961391386,0.025628045119620285,0.8938021026551723,0.02446681323960918,0.041153420961391386,true,12
development_model_1,joint_unit_0030,S1_no_contact,addressable_affine_composed,0.17110308829044565,0.1052942853376624,0.23821964895324424,0.12065256394896313,0.03778464175153164,1.7022272571921349,0.17110308829044565,0.12065256394896313,true,12
development_model_1,joint_unit_0032,S1_no_contact,addressable_affine_composed,0.1510554941356346,0.1125187368760429,0.22857180792318565,0.21170607459006538,0.04405882983815836,2.086167596280575,0.1510554941356346,0.21170607459006538,true,12
development_model_1,joint_unit_0034,S1_no_contact,addressable_affine_composed,0.013027846904800928,0.003111342748794317,0.05230739711170173,0.053165940760958076,0.034448424710252085,0.7988766767084599,0.013027846904800928,0.053165940760958076,true,12
development_model_1,joint_unit_0035,S1_no_contact,addressable_affine_composed,0.12627849702538124,0.11717542667141606,0.199283751069615,0.16367649314897675,0.042603913807224,1.2990002520382404,0.12627849702538124,0.16367649314897675,true,12
development_model_1,joint_unit_0036,S1_no_contact,addressable_affine_composed,0.03484245106832749,0.007775463448075277,0.039558763328536,0.04254230979910742,0.037425969829726596,1.2207773514091969,0.03484245106832749,0.04254230979910742,true,12
development_model_1,joint_unit_0037,S1_no_contact,addressable_affine_composed,0.04788879481775584,0.012434898180105337,0.08280317547250518,0.04879940381204595,0.062187544529345475,4.625118896365166,0.04788879481775584,0.04879940381204595,true,12
development_model_1,joint_unit_0041,S1_no_contact,addressable_affine_composed,0.06009451306976363,0.05732803824001271,0.08803836759866208,0.07698861183114301,0.023999569149034915,0.7474703248590231,0.06009451306976363,0.07698861183114301,true,12
development_model_1,joint_unit_0044,S1_no_contact,addressable_affine_composed,0.057441237934674406,0.02986581819663773,0.11442099040656624,0.05801371665865542,0.04413758759711784,0.8779908530414104,0.057441237934674406,0.05801371665865542,true,12
development_model_1,joint_unit_0045,S1_no_contact,addressable_affine_composed,0.06371975572797743,0.029846850688733287,0.10649340268460165,0.04542169115397138,0.06000038867137243,4.541944712400436,0.06371975572797743,0.04542169115397138,true,12
development_model_1,joint_unit_0048,S1_no_contact,addressable_affine_composed,0.03142343971437653,0.02451732516043587,0.031545926208382,0.04725210195706327,0.025126760526352983,4.114402458071709,0.03142343971437653,0.04725210195706327,true,12
development_model_1,joint_unit_0050,S1_no_contact,addressable_affine_composed,0.022975049941356088,0.06714831304288439,0.06639663145420086,0.04843206641714045,0.03090097470720754,4.5478906482458115,0.06714831304288439,0.04843206641714045,true,12
development_model_1,joint_unit_0052,S1_no_contact,addressable_affine_composed,0.0007004137280445851,0.0816148583355295,0.11120876846489317,0.07892657430839187,0.020525151189955775,4.796529561281204,0.0816148583355295,0.07892657430839187,true,12
development_model_1,joint_unit_0053,S1_no_contact,addressable_affine_composed,0.09926244724343472,0.0949332887137802,0.22265412915802862,0.06842632930985855,0.05733835147561252,0.5411124788224697,0.09926244724343472,0.06842632930985855,true,12
development_model_1,joint_unit_0055,S1_no_contact,addressable_affine_composed,0.12501007337548417,0.06412874055138384,0.1517907985557437,0.0811280685685756,0.03797719214640294,3.0958645045757294,0.12501007337548417,0.0811280685685756,true,12
development_model_1,joint_unit_0057,S1_no_contact,addressable_affine_composed,0.07190025211479699,0.0033930918457610567,0.1478572274714241,0.056314754049993504,0.04126335312776043,0.7313845213502645,0.07190025211479699,0.056314754049993504,true,12
development_model_1,joint_unit_0058,S1_no_contact,addressable_affine_composed,0.04172442096380946,0.000528082521750833,0.08545670069731102,0.057693781612743626,0.06230853982859076,2.6602420955896378,0.04172442096380946,0.057693781612743626,true,12
development_model_1,joint_unit_0060,S1_no_contact,addressable_affine_composed,0.08375956024476963,0.021471034156816105,0.1057049152259524,0.08562874129195534,0.025660013247454993,1.5355276875197887,0.08375956024476963,0.08562874129195534,true,12
