public_unit_id,family,seed,route,edited_object,delta_vx,delta_vy,M1,joint_pass,anchor_rmse,k1_rmse,t19_rmse
joint-2a931d7a53cb9c33974d,M1,291301,single_only_addressable,0,0.0660007618367672,-0.0660007618367672,0.21187078153928843,true,0.0450623672327589,0.04423069166433401,0.160302091319261
joint-4352a0ffd3ac22d2f5e6,M1,291301,single_only_addressable,1,0.0660007618367672,-0.0660007618367672,0.13040213767355455,true,0.02329680309435523,0.02504807250542473,0.07168682572208211
joint-147f59a58d0ef285e900,M1,291301,single_only_addressable,0,0.0660007618367672,-0.1320015236735344,0.36745597781906403,true,0.07117051295660617,0.07184722295025385,0.2688114974669918
joint-d0326bfd1d59b011ffc1,M1,291301,single_only_addressable,0,0.1320015236735344,0.0660007618367672,0.08720882898275215,true,0.02582896253216722,0.031052707600547742,0.0748189636690693
joint-b0a6408213b275a6eec4,M1,291301,single_only_addressable,0,-0.1320015236735344,0.0660007618367672,0.2790814668028088,true,0.045282482968157046,0.06045516403284492,0.19578164269864065
joint-f16075ae76c562b01afa,M1,291301,single_only_addressable,1,0.1320015236735344,0.0660007618367672,0.32082643163715513,true,0.06103554351844128,0.06145628738975512,0.1942841523629573
joint-6c84dffefac07a85efd4,M1,291301,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.20151122886127074,true,0.038758950357600526,0.05173076984160847,0.1585000663415818
joint-530af393a720d348afb0,M1,291301,single_only_addressable,1,0.0660007618367672,0.0660007618367672,0.12636619261421905,true,0.020895663344628692,0.022769944396839645,0.05931711176260597
joint-66b0d86cfbc4d904308f,M1,291301,single_only_addressable,0,-0.0660007618367672,0.0660007618367672,0.22949062021824598,true,0.03743111021482645,0.04452140298849484,0.13390294593129537
joint-cb84ae0ab47be6c0b097,M1,291301,single_only_addressable,0,-0.0660007618367672,0.1320015236735344,0.4058175057053638,false,0.06019941765856891,0.06493511973883469,0.20618987326648514
joint-bd7b1bc3eac5c32be6ce,M1,291301,single_only_addressable,0,-0.0660007618367672,-0.0660007618367672,0.11655157895690449,true,0.024555666367331374,0.032988497605583235,0.11122169029110202
joint-f42e2b2aa0bcf1904b2c,M1,291301,single_only_addressable,1,0.1320015236735344,0.0660007618367672,0.29174010122937455,true,0.060190761006822774,0.055248457931222884,0.14058062198275484
joint-0cc5980f554a68da719e,M1,291301,single_only_addressable,0,0.1320015236735344,0.1320015236735344,0.36766397859979655,true,0.0636182061384985,0.05550709555309526,0.2905514750162333
joint-c71196ce6b27a5f15741,M1,291301,single_only_addressable,1,-0.0660007618367672,-0.0660007618367672,0.0736123086424991,true,0.01664576797194286,0.026447686674114245,0.06077109240256368
joint-08a29e94c959b15daf6c,M1,291301,single_only_addressable,0,-0.1320015236735344,-0.0660007618367672,0.14827497212718518,true,0.02763885039503538,0.032209797826451614,0.12752348010695227
joint-009344968abd7434a0a8,M1,291301,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.2630187052967145,true,0.04836949831966785,0.05377042949897997,0.1612866333686033
joint-0d9b039cb21daac03d2a,M1,291301,single_only_addressable,1,0.0660007618367672,0.0660007618367672,0.09109564332875865,true,0.015743665887264335,0.02203163578056486,0.06550107713580872
joint-96bbd61ef63ebf358d5e,M1,291301,single_only_addressable,0,-0.0660007618367672,0.0660007618367672,0.21033642869575703,true,0.034310207531854785,0.03823154136382884,0.12640574510019073
joint-71226efdc82c7b8eb4e1,M1,291301,single_only_addressable,1,0.1320015236735344,-0.1320015236735344,0.6350702665128191,false,0.10352557008933122,0.09303010423817246,0.30755076833104567
joint-2b6a5ce6c26b3991652e,M1,291301,single_only_addressable,0,0.0660007618367672,-0.1320015236735344,0.3453705707888456,true,0.05421750949273123,0.05488089617273077,0.17510838850953436
joint-c45a492c6ab0e2e5bfbe,M1,291301,single_only_addressable,1,0.1320015236735344,-0.0660007618367672,0.5157661402099172,false,0.08475997476406362,0.0753558888342383,0.27647593688595473
joint-b2b2ebaf8b3253aafde3,M1,291301,single_only_addressable,0,0.1320015236735344,-0.1320015236735344,0.38912219445925644,true,0.07359345753847438,0.07253427815890405,0.2684512866366054
joint-58d5f239e12552c3626e,M1,291301,single_only_addressable,0,-0.1320015236735344,0.1320015236735344,0.3912341126707276,true,0.07788236421945496,0.07220623028241567,0.2973095031542099
joint-fc2b76f0772372bf8c3c,M1,291301,single_only_addressable,1,-0.1320015236735344,0.0660007618367672,0.1614474615907937,true,0.028032324863865168,0.03176717294979174,0.09875022293649251
