model_id,unit_id,stratum,coefficient_max_abs_error,patch_max_abs_error,rollout_max_abs_error
development_model_1,joint_unit_0125,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0129,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0131,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0137,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0139,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0141,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0142,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0143,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0145,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0147,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0155,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0157,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0158,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0159,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0164,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0167,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0170,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0171,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0172,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0175,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0178,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0180,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0181,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0182,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0187,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0188,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0192,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0197,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0199,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0204,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0207,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0208,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0209,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0210,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0214,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0218,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0219,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0220,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0221,S1_no_contact,3.552713678800501e-15,0.0,0.0
development_model_1,joint_unit_0222,S1_no_contact,3.552713678800501e-15,0.0,0.0
