family,seed,public_unit_id,E_full_oracle,E_request_oracle,E_base_oracle,coefficient_decomposition_residual,hidden_decomposition_residual
M1,291301,joint-2a931d7a53cb9c33974d,0.7783324260461919,0.7918656227626251,1.504563979910955,0.0,2.7755575615628914e-17
M1,291301,joint-4352a0ffd3ac22d2f5e6,0.6307940612662466,0.4269041583637667,1.756512885012217,0.0,7.781720101629475e-09
M1,291301,joint-147f59a58d0ef285e900,0.8915176060968183,0.8944705282838804,1.6838067186950754,0.0,1.6865898899709464e-08
M1,291301,joint-d0326bfd1d59b011ffc1,0.5327365857207764,0.4505988540382257,1.9080745178901992,0.0,8.432949449854732e-09
M1,291301,joint-b0a6408213b275a6eec4,0.3784144891041809,0.5131535292921665,1.662346312409478,1.1920928955078125e-07,3.598521480796535e-08
M1,291301,joint-f16075ae76c562b01afa,0.6025602756083894,0.3608089059182287,1.120787757113669,0.0,7.03725571149505e-08
M1,291301,joint-6c84dffefac07a85efd4,0.408926955323158,0.32218538439613414,1.7729398604800175,1.1920928955078125e-07,2.5206405185329572e-08
M1,291301,joint-530af393a720d348afb0,0.4630010534610729,0.4983035730082037,1.7062857594421916,2.384185791015625e-07,5.1180041538145815e-08
M1,291301,joint-66b0d86cfbc4d904308f,0.2276729171421673,0.06850680012386205,1.3328812814350774,1.4901161193847656e-08,1.7992607403982674e-08
M1,291301,joint-cb84ae0ab47be6c0b097,0.5134677736542878,0.33905538132910684,1.259089099818425,0.0,1.6865898899709464e-08
M1,291301,joint-bd7b1bc3eac5c32be6ce,0.6701243149772965,0.39763999724679244,1.3356497621248415,0.0,6.755140447012309e-09
M1,291301,joint-f42e2b2aa0bcf1904b2c,1.0801801048363262,0.8076535036707184,1.5505857803599923,0.0,3.1987525961341134e-08
M1,291301,joint-0cc5980f554a68da719e,1.2133416553635885,1.2818445516697394,1.5953933583377773,0.0,3.3775702235061544e-09
M1,291301,joint-c71196ce6b27a5f15741,0.7426384999969301,0.703294601449427,1.8394678431703722,1.4901161193847656e-08,2.6842553957351356e-08
M1,291301,joint-08a29e94c959b15daf6c,0.38499114123604505,0.16029150798375144,1.456004264438366,0.0,2.090004525001632e-08
M1,291301,joint-009344968abd7434a0a8,0.4530730841771833,0.3696313547851106,1.851632325406958,1.1920928955078125e-07,3.406700965769005e-08
