model_id,stratum,route,unit_count,joint_coverage,median_m1_x,median_m1_y,median_m2,median_m3,median_m4,median_m5,cell_pass
development_model_1,S1_no_contact,factual_reference,256,1.0,0.015527860006250213,0.019188801588880165,0.051618450701916355,0.019782009265239688,0.02626360667263771,0.905252993106842,true
development_model_1,S2_interaction_sensitive,factual_reference,256,1.0,0.022664833754810272,0.023460917231509164,0.08383456907560578,0.04568688943276532,0.04250796913327835,1.0203679092228413,true
development_model_2,S1_no_contact,factual_reference,256,1.0,0.017551473639273455,0.019337066580260062,0.05317123428679565,0.022216252410307127,0.027202523206764122,0.3005367936566472,true
development_model_2,S2_interaction_sensitive,factual_reference,256,1.0,0.021998173089605878,0.024894702766712712,0.0792754626698719,0.0521694825846157,0.04114924299441314,1.1478413827717304,true
development_model_3,S1_no_contact,factual_reference,256,1.0,0.014349726074711095,0.019564570194791644,0.051767245518499996,0.020138971935378037,0.02594416873386074,0.372436479665339,true
development_model_3,S2_interaction_sensitive,factual_reference,256,1.0,0.02359560992573527,0.02331024590260663,0.08153013662846509,0.058308033335466886,0.04124997060781426,1.4868185855448246,true
development_model_1,S1_no_contact,full_hidden_equivalence,256,1.0,0.03742253822896549,0.03567547431345042,0.08660498143077419,0.06911167534156601,0.03300630222119831,3.4750105813145638,true
development_model_1,S2_interaction_sensitive,full_hidden_equivalence,256,0.9921875,0.1269476173518745,0.1661091677031741,0.2960892401182114,0.217966341527218,0.07065088475419928,2.3927301168441772,true
development_model_2,S1_no_contact,full_hidden_equivalence,256,1.0,0.03747571277513097,0.03428473334708098,0.07896994175212643,0.061263880202359206,0.0344410973422002,1.3487753458321095,true
development_model_2,S2_interaction_sensitive,full_hidden_equivalence,256,1.0,0.11652931865091375,0.10287914835489262,0.2714099025496447,0.19752929126543892,0.055909857356819664,2.2178223356604576,true
development_model_3,S1_no_contact,full_hidden_equivalence,256,1.0,0.04582718461384076,0.04128811030120926,0.08426229580680153,0.07287604849053247,0.03753117751295616,2.515165600925684,true
development_model_3,S2_interaction_sensitive,full_hidden_equivalence,256,0.9765625,0.17386197998224542,0.17793047262850226,0.3088796586306396,0.2470009299442574,0.05959933548836191,2.30850912630558,true
development_model_1,S1_no_contact,joint_aware_affine,256,1.0,0.07884144426515206,0.05332137919379981,0.12809309506969363,0.07550930368159253,0.035903274900727145,2.007760386914015,true
development_model_1,S2_interaction_sensitive,joint_aware_affine,256,0.91796875,0.19602212687488946,0.19139153926101926,0.3449278140751337,0.24980994618975427,0.08537743844662421,2.8854811564087868,true
