public_unit_id,source_record_index,split,edited_object,numeric_edited_object,metadata_delta_vx,numeric_delta_vx,metadata_delta_vy,numeric_delta_vy,single_x_delta_vx,single_x_delta_vy,single_y_delta_vx,single_y_delta_vy,joint_delta_vx,joint_delta_vy,composition_max_abs_error,preanchor_observations_identical,anchor_positions_identical,same_source_noise_identity,semantic_pass
joint-f8233fe8369c3dede212,0,FIT,0,0,0.0660007618367672,0.06600076002177477,0.0660007618367672,0.06600075663877444,0.06600076002177477,-2.9628185738150847e-09,-4.547952986433401e-11,0.06600075663877444,0.06600076002177477,0.06600075663877444,2.6096715011192373e-08,true,true,true,true
joint-2a931d7a53cb9c33974d,1,TEST,0,0,0.0660007618367672,0.06600075999834643,-0.0660007618367672,-0.06600075983747704,0.06600075999834643,-3.053380465134481e-12,3.9675340790523705e-10,-0.06600075983747704,0.06600075999834643,-0.06600075983747704,5.90686111134886e-09,true,true,true,true
joint-d83b615f6e35f598b42a,2,FIT,1,1,0.0660007618367672,0.06600075913136588,0.0660007618367672,0.06600076155417224,0.06600075913136588,8.993407407675846e-11,-4.702271350076614e-10,0.06600076155417224,0.06600075913136588,0.06600076155417224,4.768371542063221e-08,true,true,true,true
joint-4352a0ffd3ac22d2f5e6,3,TEST,1,1,0.0660007618367672,0.0660007692596106,-0.0660007618367672,-0.06600075860710788,0.0660007692596106,-8.681600160986847e-10,2.207436983203692e-09,-0.06600075860710788,0.0660007692596106,-0.06600075860710788,4.768371630881063e-08,true,true,true,true
joint-4c9e04c97cc3fa206df7,4,FIT,1,1,-0.0660007618367672,-0.06600076169522627,0.0660007618367672,0.06600075829427685,-0.06600076169522627,-1.3073161719834303e-09,-2.3098810017496696e-10,0.06600075829427685,-0.06600076169522627,0.06600075829427685,1.1304102431886065e-08,true,true,true,true
joint-ecd485c4739bbdf99c8f,5,FIT,1,1,-0.0660007618367672,-0.06600076244594971,0.0660007618367672,0.06600076333896468,-0.06600076244594971,1.2081363687244107e-11,8.809336038417825e-10,0.06600076333896468,-0.06600076244594971,0.06600076333896468,4.768371630881063e-08,true,true,true,true
joint-ae9e0db3d1a5204ea5c2,6,FIT,1,1,-0.0660007618367672,-0.06600076182791087,-0.0660007618367672,-0.06600076292878128,-0.06600076182791087,-6.75592498611266e-11,-2.7501868005153085e-09,-0.06600076292878128,-0.06600076182791087,-0.06600076292878128,4.7683716086766026e-08,true,true,true,true
joint-c628bca0e97392b7730e,7,FIT,0,0,-0.0660007618367672,-0.06600076064101518,-0.0660007618367672,-0.06600076045284892,-0.06600076064101518,-8.512558921647262e-10,-1.0394221594545172e-09,-0.06600076045284892,-0.06600076064101518,-0.06600076045284892,1.1951402867360628e-08,true,true,true,true
joint-afccdf7fb917428aa7a5,8,FIT,1,1,0.0660007618367672,0.06600076244587064,0.1320015236735344,0.13200153019919594,0.06600076244587064,-1.798609802761142e-10,-4.6063029779386255e-09,0.13200153019919594,0.06600076244587064,0.13200153019919594,1.0740764166961014e-08,true,true,true,true
joint-fc9093fc02f6ce6aae58,9,FIT,0,0,0.0660007618367672,0.06600076224159457,0.1320015236735344,0.13200152309381213,0.06600076224159457,1.6533578672817129e-10,7.77356401471252e-10,0.13200152309381213,0.06600076224159457,0.13200152309381213,4.768371542063221e-08,true,true,true,true
joint-8dce8ad4f6572f00eda9,10,FIT,1,1,0.0660007618367672,0.06600075988528076,-0.1320015236735344,-0.13200152948942157,0.06600075988528076,-4.168719536234988e-11,2.836877399658988e-10,-0.13200152948942157,0.06600075988528076,-0.13200152948942157,4.768371630881063e-08,true,true,true,true
joint-147f59a58d0ef285e900,11,TEST,0,0,0.0660007618367672,0.06600076874698069,-0.1320015236735344,-0.1320015302720501,0.06600076874698069,1.0700681486730534e-10,-5.755773524462882e-09,-0.1320015302720501,0.06600076874698069,-0.1320015302720501,5.755773524462882e-09,true,true,true,true
joint-cc1bf610d651caeff5a8,12,FIT,1,1,-0.0660007618367672,-0.06600076320439535,0.1320015236735344,0.13200152219077366,-0.06600076320439535,2.9875876217388964e-09,1.2248797115477217e-10,0.13200152219077366,-0.06600076320439535,0.13200152219077366,2.042418034697846e-08,true,true,true,true
joint-d668a846550277f25b2c,13,FIT,1,1,-0.0660007618367672,-0.06600076206016148,0.1320015236735344,0.1320015241608608,-0.06600076206016148,3.0106189069512013e-10,3.129366987764115e-09,0.1320015241608608,-0.06600076206016148,0.1320015241608608,4.7683716086766026e-08,true,true,true,true
joint-9a403c2d80a1cb5a56ad,14,FIT,1,1,-0.0660007618367672,-0.06600076188368806,-0.1320015236735344,-0.13200152665392345,-0.06600076188368806,-1.5682594112220727e-13,-3.4462482589869836e-09,-0.13200152665392345,-0.06600076188368806,-0.13200152665392345,4.7683715198587606e-08,true,true,true,true
joint-d0326bfd1d59b011ffc1,15,TEST,0,0,0.1320015236735344,0.1320015254267099,0.0660007618367672,0.06600076232065108,0.1320015254267099,-1.0062322294834836e-09,-1.2270567409378152e-09,0.06600076232065108,0.1320015254267099,0.06600076232065108,4.768371630881063e-08,true,true,true,true
joint-cf6627a357352367472b,16,FIT,0,0,0.1320015236735344,0.13200153033032078,-0.0660007618367672,-0.06600076009175536,0.13200153033032078,-4.901623412711942e-10,-4.873615400136089e-11,-0.06600076009175536,0.13200153033032078,-0.06600076009175536,4.768371630881063e-08,true,true,true,true
joint-f148b27bb8c33da11cfb,17,FIT,0,0,-0.0660007618367672,-0.06600075923471913,-0.1320015236735344,-0.13200151653587366,-0.06600075923471913,-1.0240024106433765e-11,3.6687389237677337e-10,-0.13200151653587366,-0.06600075923471913,-0.13200151653587366,1.2885525313421908e-08,true,true,true,true
joint-b0a6408213b275a6eec4,18,TEST,0,0,-0.1320015236735344,-0.13200152178207578,0.0660007618367672,0.0660007620406142,-0.13200152178207578,1.0420373106057035e-09,1.1464005647554565e-09,0.0660007620406142,-0.13200152178207578,0.0660007620406142,4.768371630881063e-08,true,true,true,true
joint-f16075ae76c562b01afa,19,TEST,1,1,0.1320015236735344,0.1320015256314805,0.0660007618367672,0.06600075441878894,0.1320015256314805,-5.182804074799208e-09,2.5451744878335347e-11,0.06600075441878894,0.1320015256314805,0.06600075441878894,1.8694309322775382e-08,true,true,true,true
joint-c2ea4a9b44cf87fa7ef2,20,FIT,0,0,-0.1320015236735344,-0.1320015200766969,-0.0660007618367672,-0.06600076367784495,-0.1320015200766969,-3.509616347541211e-10,-8.735108678048498e-10,-0.06600076367784495,-0.1320015200766969,-0.06600076367784495,4.7683716086766026e-08,true,true,true,true
joint-b0a71ab07fe8076c391e,21,FIT,0,0,0.1320015236735344,0.13200152277494676,0.1320015236735344,0.1320015250266519,0.13200152277494676,-1.6271147207369552e-09,-1.535295710008988e-10,0.1320015250266519,0.13200152277494676,0.1320015250266519,4.7683716086766026e-08,true,true,true,true
joint-db0a8a1725275c3b1c5b,22,FIT,1,1,0.1320015236735344,0.13200152276362664,-0.0660007618367672,-0.06600076295398544,0.13200152276362664,3.728978723027687e-10,3.560440609007287e-09,-0.06600076295398544,0.13200152276362664,-0.06600076295398544,1.0407711970028544e-08,true,true,true,true
joint-e4923da1fb3a28858326,23,FIT,0,0,-0.1320015236735344,-0.13200153083405575,0.0660007618367672,0.06600077569068014,-0.13200153083405575,1.1879259242952855e-09,-4.5499881987098867e-10,0.06600077569068014,-0.13200153083405575,0.06600077569068014,6.5158122231068205e-09,true,true,true,true
joint-6c84dffefac07a85efd4,24,TEST,1,1,0.1320015236735344,0.13200152097986256,-0.1320015236735344,-0.13200152139568366,0.13200152097986256,-3.2985247866434975e-10,1.776676541997979e-09,-0.13200152139568366,0.13200152097986256,-0.13200152139568366,4.7683716086766026e-08,true,true,true,true
joint-7ef8ece57527c222c1af,25,FIT,1,1,-0.1320015236735344,-0.1320015245596623,0.1320015236735344,0.13200151716264466,-0.1320015245596623,-1.7789623246722286e-10,-1.6311859640794069e-09,0.13200151716264466,-0.1320015245596623,0.13200151716264466,4.7683716086766026e-08,true,true,true,true
joint-833d104163b62dd556c2,26,FIT,1,1,-0.1320015236735344,-0.1320015232134386,-0.1320015236735344,-0.13200152907776744,-0.1320015232134386,-5.613556494643568e-10,3.4403280224637456e-09,-0.13200152907776744,-0.1320015232134386,-0.13200152907776744,4.7683716086766026e-08,true,true,true,true
joint-530af393a720d348afb0,27,TEST,1,1,0.0660007618367672,0.06600076572392186,0.0660007618367672,0.06600076184315215,0.06600076572392186,3.7891398352307704e-10,-1.3282517585810893e-09,0.06600076184315215,0.06600076572392186,0.06600076184315215,4.768371542063221e-08,true,true,true,true
joint-e7bcfef94d65370279e3,28,FIT,1,1,-0.1320015236735344,-0.1320015303227634,-0.0660007618367672,-0.06600076704674385,-0.1320015303227634,-7.445150829177294e-09,5.629353580505203e-11,-0.06600076704674385,-0.1320015303227634,-0.06600076704674385,1.4209768250950106e-08,true,true,true,true
joint-d0bd8d08f7dd3c7e45c2,29,FIT,0,0,0.0660007618367672,0.06600076109288214,-0.0660007618367672,-0.06600076225656734,0.06600076109288214,1.0703159677993845e-09,1.4912891269092121e-09,-0.06600076225656734,0.06600076109288214,-0.06600076225656734,4.768371630881063e-08,true,true,true,true
joint-83a5e1f4dfdd8f5e7da3,30,FIT,0,0,0.1320015236735344,0.13200152564429748,0.1320015236735344,0.13200152881575458,0.13200152564429748,-5.288592647145762e-09,-7.814656560745092e-11,0.13200152881575458,0.13200152564429748,0.13200152881575458,2.3225937395565666e-08,true,true,true,true
joint-f998105a47e951f2a97d,31,FIT,0,0,0.1320015236735344,0.13200152908542256,-0.1320015236735344,-0.1320015251285403,0.13200152908542256,1.5252263341203331e-09,5.69010796813707e-10,-0.1320015251285403,0.13200152908542256,-0.1320015251285403,1.1597368676508069e-08,true,true,true,true
joint-80d1f2a25e244db7f1c7,32,FIT,1,1,-0.1320015236735344,-0.13200152516743519,0.1320015236735344,0.1320015238678683,-0.13200152516743519,-6.511188643809618e-09,-3.7631371629931465e-10,0.1320015238678683,-0.13200152516743519,0.1320015238678683,2.8818422648235753e-08,true,true,true,true
joint-66b0d86cfbc4d904308f,33,TEST,0,0,-0.0660007618367672,-0.06600076005097427,0.0660007618367672,0.06600076219250227,-0.06600076005097427,-2.030584728140994e-10,-4.49381261369286e-10,0.06600076219250227,-0.06600076005097427,0.06600076219250227,4.768371542063221e-08,true,true,true,true
joint-05051f403c8ec1eda9cd,34,FIT,1,1,-0.0660007618367672,-0.06600076149969672,-0.0660007618367672,-0.06600076486276546,-0.06600076149969672,3.267630055425741e-10,3.6898317457012553e-09,-0.06600076486276546,-0.06600076149969672,-0.06600076486276546,4.7683716530855236e-08,true,true,true,true
joint-580b3a6e663be0dd5559,35,FIT,0,0,0.0660007618367672,0.06600075927364635,0.1320015236735344,0.13200152089056733,0.06600075927364635,1.6873812971884838e-09,-3.279466628813843e-10,0.13200152089056733,0.06600075927364635,0.13200152089056733,4.768371630881063e-08,true,true,true,true
joint-5965c08bd51a7b16d38d,36,FIT,1,1,0.0660007618367672,0.06600075951195894,-0.1320015236735344,-0.1320015225330371,0.06600075951195894,3.9543923691098826e-10,-8.963407793771694e-11,-0.1320015225330371,0.06600075951195894,-0.1320015225330371,4.7683716086766026e-08,true,true,true,true
joint-cb84ae0ab47be6c0b097,37,TEST,0,0,-0.0660007618367672,-0.06600076107846978,0.1320015236735344,0.13200152431780282,-0.06600076107846978,1.3893264871889244e-09,-1.4768767667150406e-09,0.13200152431780282,-0.06600076107846978,0.13200152431780282,4.7683715198587606e-08,true,true,true,true
joint-611e769e4b5527d66e35,38,FIT,1,1,-0.1320015236735344,-0.13200151686628436,-0.1320015236735344,-0.13200152116387176,-0.13200151686628436,-9.804058259677007e-11,2.3369016721730418e-09,-0.13200152116387176,-0.13200151686628436,-0.13200152116387176,5.5260628295528136e-09,true,true,true,true
joint-62548d3993d492016d57,39,FIT,1,1,-0.0660007618367672,-0.06600076174764163,-0.1320015236735344,-0.13200152410737884,-0.06600076174764163,2.1808135852730004e-10,6.47919107255035e-10,-0.13200152410737884,-0.06600076174764163,-0.13200152410737884,4.768371630881063e-08,true,true,true,true
joint-d45497e7069c3b55bb7a,40,FIT,0,0,0.0660007618367672,0.06600076332820809,0.0660007618367672,0.06600077152829026,0.06600076332820809,-2.9744639529205585e-09,1.324770154687016e-12,0.06600077152829026,0.06600076332820809,0.06600077152829026,2.0719494453480536e-08,true,true,true,true
joint-c6edb693a98f81758d5c,41,FIT,1,1,0.0660007618367672,0.06600076351970771,-0.0660007618367672,-0.06600076351545486,0.06600076351970771,-3.913861845727951e-09,1.9282439533974127e-10,-0.06600076351545486,0.06600076351970771,-0.06600076351545486,1.4734279685235663e-08,true,true,true,true
joint-ffaa6032d96cf2336e34,42,FIT,1,1,-0.0660007618367672,-0.06600076308174087,0.0660007618367672,0.06600076070568747,-0.06600076308174087,1.1040944547513476e-09,-2.2051883930007676e-10,0.06600076070568747,-0.06600076308174087,0.06600076070568747,6.298745303112696e-09,true,true,true,true
joint-bd7b1bc3eac5c32be6ce,43,TEST,0,0,-0.0660007618367672,-0.06600076414286635,-0.0660007618367672,-0.06600076265254495,-0.06600076414286635,-2.569842116884047e-10,2.909307267318084e-09,-0.06600076265254495,-0.06600076414286635,-0.06600076265254495,2.909307267318084e-09,true,true,true,true
joint-305e0e907a8c46c86ae4,44,FIT,0,0,0.0660007618367672,0.06600076219251205,0.1320015236735344,0.13200151662074616,0.06600076219251205,-2.5824398730556197e-09,-2.0304868203480098e-10,0.13200151662074616,0.06600076219251205,0.13200151662074616,1.3489625860785281e-08,true,true,true,true
joint-6007892bb720a53fd832,45,FIT,1,1,0.0660007618367672,0.06600076545012193,-0.1320015236735344,-0.13200152548216332,0.06600076545012193,2.4028075189252984e-10,-1.6020516857562228e-09,-0.13200152548216332,0.06600076545012193,-0.13200152548216332,2.8974808774506755e-08,true,true,true,true
joint-694b7be80cbc76419f6d,46,FIT,1,1,-0.0660007618367672,-0.06600076128476277,0.1320015236735344,0.13200152094312564,-0.06600076128476277,1.7399396090578279e-09,1.7947539288076797e-10,0.13200152094312564,-0.06600076128476277,0.13200152094312564,1.5934051078581035e-08,true,true,true,true
joint-8d4856e0449f79be4df6,47,FIT,0,0,-0.0660007618367672,-0.0660007659147005,-0.1320015236735344,-0.1320015311206384,-0.0660007659147005,1.8974110130298705e-10,-6.3131074812261545e-09,-0.1320015311206384,-0.0660007659147005,-0.1320015311206384,1.7548607678108397e-08,true,true,true,true
joint-9538029c12ef88b81578,48,FIT,1,1,0.1320015236735344,0.13200152038283558,0.0660007618367672,0.06600076012240477,0.13200152038283558,5.20811754833872e-10,1.1796495447136124e-09,0.06600076012240477,0.13200152038283558,0.06600076012240477,4.768371542063221e-08,true,true,true,true
joint-f42e2b2aa0bcf1904b2c,49,TEST,1,1,0.1320015236735344,0.13200152437329982,0.0660007618367672,0.06600076441852704,0.13200152437329982,-2.6336465785981034e-09,-4.178216661543388e-10,0.06600076441852704,0.13200152437329982,0.06600076441852704,1.4156001038045929e-08,true,true,true,true
joint-65c9b4aad75781a186cc,50,FIT,1,1,0.1320015236735344,0.13200151816983038,-0.0660007618367672,-0.0660007645359505,0.13200151816983038,6.535779625838067e-10,-1.0333556510477848e-09,-0.0660007645359505,0.13200151816983038,-0.0660007645359505,4.7683716086766026e-08,true,true,true,true
joint-af0f7de8429eea3ce1ac,51,FIT,1,1,0.1320015236735344,0.13200152984970392,-0.0660007618367672,-0.06600077382267913,0.13200152984970392,6.800750795843413e-10,4.0196957568072733e-10,-0.06600077382267913,0.13200152984970392,-0.06600077382267913,1.2757962464249317e-08,true,true,true,true
joint-bc22e513d5c606ba0222,52,FIT,0,0,-0.1320015236735344,-0.1320015210891958,0.0660007618367672,0.06600076260487814,-0.1320015210891958,-7.220051778666914e-10,-2.33646088587669e-11,0.06600076260487814,-0.1320015210891958,0.06600076260487814,4.7683716530855236e-08,true,true,true,true
joint-3cdbbf3ff2931497836b,53,FIT,1,1,-0.1320015236735344,-0.1320015251597569,-0.0660007618367672,-0.06600076063717686,-0.1320015251597569,8.270613013894312e-10,1.4940097214921622e-09,-0.06600076063717686,-0.1320015251597569,-0.06600076063717686,4.7683715198587606e-08,true,true,true,true
joint-cb21471f9cb71590a0b9,54,FIT,1,1,-0.1320015236735344,-0.1320015279236627,0.0660007618367672,0.0660007649646564,-0.1320015279236627,5.363063382279876e-09,5.927490616397524e-10,0.0660007649646564,-0.1320015279236627,0.0660007649646564,5.363063382279876e-09,true,true,true,true
joint-7c574c556edb849b8445,55,FIT,0,0,0.1320015236735344,0.13200151648911226,0.1320015236735344,0.13200152555043312,0.13200151648911226,-1.1033335078902695e-09,1.0112165341191748e-09,0.13200152555043312,0.13200151648911226,0.13200152555043312,4.7683715198587606e-08,true,true,true,true
joint-0d57be2ba8fd85ccc0c9,56,FIT,0,0,-0.1320015236735344,-0.1320015263710681,-0.0660007618367672,-0.06600076041647768,-0.1320015263710681,-8.148846528110987e-10,-7.16788206567287e-09,-0.06600076041647768,-0.1320015263710681,-0.06600076041647768,2.977935653625252e-08,true,true,true,true
joint-4bbfc5b90e36c22d7080,57,FIT,0,0,0.1320015236735344,0.13200153017879862,-0.1320015236735344,-0.13200152051578334,0.13200153017879862,-1.312597294744755e-09,-2.0025829605696543e-10,-0.13200152051578334,0.13200153017879862,-0.13200152051578334,4.7683716086766026e-08,true,true,true,true
joint-0cc5980f554a68da719e,58,TEST,0,0,0.1320015236735344,0.13200151747589328,0.1320015236735344,0.13200151296707072,0.13200151747589328,-6.236115318580815e-09,1.3535240983575392e-10,0.13200151296707072,0.13200151747589328,0.13200151296707072,8.28892743331977e-09,true,true,true,true
joint-360fab768d4aa2cb8264,59,FIT,1,1,0.1320015236735344,0.13200152357992542,-0.1320015236735344,-0.13200152818345406,0.13200152357992542,3.329577065447342e-10,-3.0738412093445078e-09,-0.13200152818345406,0.13200152357992542,-0.13200152818345406,1.0994301136157958e-08,true,true,true,true
joint-a4ed1defa84be7bd13db,60,FIT,0,0,-0.1320015236735344,-0.13200152393932527,0.1320015236735344,0.13200152067282322,-0.13200152393932527,1.4696371827827015e-09,-1.0108489392757214e-09,0.13200152067282322,-0.13200152393932527,0.13200152067282322,4.768371630881063e-08,true,true,true,true
joint-8c20360270ad2235e33f,61,FIT,0,0,-0.1320015236735344,-0.13200152704393092,-0.1320015236735344,-0.13200151986974476,-0.13200152704393092,-6.665587248821936e-10,-3.901643036430258e-10,-0.13200151986974476,-0.13200152704393092,-0.13200151986974476,4.7683716086766026e-08,true,true,true,true
joint-6a40cd9b53aac496d01f,62,FIT,0,0,0.0660007618367672,0.06600075919038234,0.0660007618367672,0.06600076167129663,0.06600075919038234,-1.6555866816370113e-09,-4.112106696818607e-10,0.06600076167129663,0.06600075919038234,0.06600076167129663,4.768371630881063e-08,true,true,true,true
joint-c0f66b3dba41ce6397c6,63,FIT,1,1,-0.1320015236735344,-0.1320015171031033,0.1320015236735344,0.13200152391033088,-0.1320015171031033,-2.743435756347168e-09,-2.2822367953811984e-10,0.13200152391033088,-0.1320015171031033,0.13200152391033088,7.677557811724967e-09,true,true,true,true
joint-a5491c0238291db8a9ad,64,FIT,0,0,-0.1320015236735344,-0.13200152308870303,-0.1320015236735344,-0.13200152351314176,-0.13200152308870303,-5.84665427183495e-10,-1.6022670343285306e-10,-0.13200152351314176,-0.13200152308870303,-0.13200152351314176,1.6081519005339828e-08,true,true,true,true
joint-33bc1c98b5af0a067ab2,65,FIT,0,0,0.0660007618367672,0.06600076436743384,-0.0660007618367672,-0.0660007587515568,0.06600076436743384,8.500362219665547e-10,-8.220946284831498e-10,-0.0660007587515568,0.06600076436743384,-0.0660007587515568,4.7683716530855236e-08,true,true,true,true
joint-2e69b89fce20c182a1d9,66,FIT,1,1,0.0660007618367672,0.0660007617030959,0.0660007618367672,0.06600075826553997,0.0660007617030959,6.114527550948878e-09,-2.2680355163395838e-10,0.06600075826553997,0.0660007617030959,0.06600075826553997,2.5656899271808697e-08,true,true,true,true
joint-73a8df9511c5035be12f,67,FIT,0,0,-0.0660007618367672,-0.06600076223246601,0.0660007618367672,0.06600076189060464,-0.06600076223246601,-3.0660931849002537e-09,-7.682278355125582e-10,0.06600076189060464,-0.06600076223246601,0.06600076189060464,4.768371630881063e-08,true,true,true,true
joint-c71196ce6b27a5f15741,68,TEST,1,1,-0.0660007618367672,-0.06600076184874794,-0.0660007618367672,-0.06600076409926477,-0.06600076184874794,1.5894112762038226e-10,-2.945646851437722e-09,-0.06600076409926477,-0.06600076184874794,-0.06600076409926477,4.768371542063221e-08,true,true,true,true
joint-5d965f70adb767147e97,69,FIT,1,1,0.0660007618367672,0.06600076393719598,-0.0660007618367672,-0.06600075163122326,0.06600076393719598,-6.930791440762363e-09,6.103126545808912e-10,-0.06600075163122326,0.06600076393719598,-0.06600075163122326,6.930791440762363e-09,true,true,true,true
joint-155c17779de13d3bf4fd,70,FIT,1,1,0.0660007618367672,0.06600076379602324,0.1320015236735344,0.13200152730658965,0.06600076379602324,-2.784995498106291e-10,-3.2561503771066924e-09,0.13200152730658965,0.06600076379602324,0.13200152730658965,4.7683716530855236e-08,true,true,true,true
joint-76f4c4faae306b50a72b,71,FIT,1,1,0.0660007618367672,0.06600076843469856,-0.1320015236735344,-0.13200152279616667,0.06600076843469856,1.3230967710331498e-10,1.382524941750951e-09,-0.13200152279616667,0.06600076843469856,-0.13200152279616667,4.768371630881063e-08,true,true,true,true
joint-840136ffaced80ff4ec7,72,FIT,0,0,-0.0660007618367672,-0.06600076228077562,0.0660007618367672,0.06600075846964515,-0.06600076228077562,-2.00625301094437e-10,-2.679182597997709e-09,0.06600075846964515,-0.06600076228077562,0.06600075846964515,1.205160238271219e-08,true,true,true,true
joint-89aeb98bf84c5ad5c049,73,FIT,0,0,-0.0660007618367672,-0.06600076152355377,-0.0660007618367672,-0.06600075989629767,-0.06600076152355377,-2.947046495727079e-10,-1.921960757211849e-09,-0.06600075989629767,-0.06600076152355377,-0.06600075989629767,4.014699128696009e-09,true,true,true,true
joint-99491f27a241c7833ed7,74,FIT,1,1,-0.0660007618367672,-0.06600076193965633,0.1320015236735344,0.13200152270714743,-0.06600076193965633,-2.213289065911006e-10,-1.4067407377860164e-09,0.13200152270714743,-0.06600076193965633,0.13200152270714743,4.768371630881063e-08,true,true,true,true
joint-99652bb12b05dbbc7986,75,FIT,0,0,-0.0660007618367672,-0.06600076084085343,-0.1320015236735344,-0.13200151749538735,-0.06600076084085343,1.7077986802505052e-09,6.233847257841596e-10,-0.13200151749538735,-0.06600076084085343,-0.13200151749538735,4.7683716530855236e-08,true,true,true,true
joint-f45479b881df4d9674ef,76,FIT,0,0,0.0660007618367672,0.06600076726957521,0.1320015236735344,0.1320015294874407,0.06600076726957521,3.970635625849539e-11,-7.2331790001989305e-09,0.1320015294874407,0.06600076726957521,0.1320015294874407,7.2331790001989305e-09,true,true,true,true
joint-da005698561c2c073787,77,FIT,0,0,0.0660007618367672,0.06600076478355171,-0.1320015236735344,-0.13200152659503525,0.06600076478355171,5.873139301282304e-11,5.181958695477107e-09,-0.13200152659503525,0.06600076478355171,-0.13200152659503525,8.655812511193517e-09,true,true,true,true
joint-124fd5859ce3e8897073,78,FIT,0,0,-0.0660007618367672,-0.06600076548736003,0.1320015236735344,0.13200151707234942,-0.06600076548736003,-2.681914829105736e-10,1.564813584264968e-09,0.13200151707234942,-0.06600076548736003,0.13200151707234942,2.361518902649351e-08,true,true,true,true
joint-bc0cf8341824c89c532a,79,FIT,1,1,0.1320015236735344,0.1320015267848929,0.0660007618367672,0.06600076204046146,0.1320015267848929,5.762232913042453e-10,1.311262626257914e-10,0.06600076204046146,0.1320015267848929,0.06600076204046146,4.768371630881063e-08,true,true,true,true
joint-774e57a90d7cc86c6d5b,80,FIT,0,0,0.1320015236735344,0.13200153013871166,-0.0660007618367672,-0.06600076429379817,0.13200153013871166,-9.669148537394534e-10,-2.4034526452387794e-10,-0.06600076429379817,0.13200153013871166,-0.06600076429379817,4.768371630881063e-08,true,true,true,true
joint-cec10698049d9ed7363e,81,FIT,0,0,-0.1320015236735344,-0.1320015234540134,0.0660007618367672,0.06600076166424182,-0.1320015234540134,-7.313189151481048e-10,-5.255370652545999e-10,0.06600076166424182,-0.1320015234540134,0.06600076166424182,4.768371630881063e-08,true,true,true,true
joint-94683249b8d64c768c0f,82,FIT,1,1,-0.1320015236735344,-0.13200152276596575,-0.0660007618367672,-0.06600076122868408,-0.13200152276596575,-2.3010720065497203e-10,1.6251058831961984e-10,-0.06600076122868408,-0.13200152276596575,-0.06600076122868408,4.768371630881063e-08,true,true,true,true
joint-a77eff94aae9f3c640f9,83,FIT,1,1,-0.0660007618367672,-0.06600076367182339,-0.1320015236735344,-0.13200152841284235,-0.06600076367182339,5.691504878502229e-09,-3.4494006956320433e-10,-0.13200152841284235,-0.06600076367182339,-0.13200152841284235,2.0391567101540886e-08,true,true,true,true
joint-8428bc95382fdc70b012,84,FIT,1,1,0.1320015236735344,0.13200152386935457,0.0660007618367672,0.06600076248634844,0.13200152386935457,-8.405348743412144e-10,-6.5097023604909765e-09,0.06600076248634844,0.13200152386935457,0.06600076248634844,6.5097023604909765e-09,true,true,true,true
