public_unit_id,family,seed,stratum,vector_class,E_add,R_norm,R_norm_error,cos_add,cos_xy
joint-2a931d7a53cb9c33974d,M0,291301,future_contact,P0,0.5058606930375884,1.342402324023081,0.2944607879741518,0.912926630153884,0.519079908803971
joint-4352a0ffd3ac22d2f5e6,M0,291301,no_contact_within_horizon,P0,0.3505570972219997,1.244272826112382,0.2185512838664393,0.9617957533036706,0.1369142205108057
joint-147f59a58d0ef285e900,M0,291301,future_contact,P1,0.5345267740316715,1.124410429258191,0.11725883540582802,0.8635316327784044,0.6422878641616016
joint-d0326bfd1d59b011ffc1,M0,291301,no_contact_within_horizon,P2,0.9757326255920559,0.4099506217338882,0.8917185613320305,0.8475385817645434,0.5109867496650069
joint-b0a6408213b275a6eec4,M0,291301,no_contact_within_horizon,P2,0.7493788490828165,1.980836655895793,0.6835193089385859,0.9279601894675223,0.7730357503555206
joint-f16075ae76c562b01afa,M0,291301,future_contact,P2,0.8580403092062596,0.6990478230880336,0.3580361226536693,0.6847422051352109,0.1833916706461509
joint-6c84dffefac07a85efd4,M0,291301,no_contact_within_horizon,P3,0.2833962900103353,1.188750013992727,0.17290234664842147,0.9745272857742004,0.3162669848506075
joint-530af393a720d348afb0,M0,291301,no_contact_within_horizon,P0,0.5469254653172263,0.7146860421014419,0.335911934677649,0.9031282911989158,0.03475059410690982
joint-66b0d86cfbc4d904308f,M0,291301,no_contact_within_horizon,P0,0.8768176720451818,2.0724970532433287,0.7287541861895488,0.8397619856567484,0.7138692382619911
joint-cb84ae0ab47be6c0b097,M0,291301,no_contact_within_horizon,P1,0.8690419471875717,2.2462190162435043,0.8092483654728112,0.9028166530200648,0.7023256370563853
joint-bd7b1bc3eac5c32be6ce,M0,291301,future_contact,P0,1.2222381179683375,0.705796414971842,0.3484284471363526,0.29148463936195973,-0.4892364211503026
joint-f42e2b2aa0bcf1904b2c,M0,291301,future_contact,P2,1.3656692213732322,0.40562693972606306,0.9023214094678809,0.29990191009777806,0.04187704243631774
joint-0cc5980f554a68da719e,M0,291301,future_contact,P3,1.7191831190005318,0.16527374845336504,1.8001520983014374,0.07258775494405675,0.39881864867754524
joint-c71196ce6b27a5f15741,M0,291301,no_contact_within_horizon,P0,0.6390763843953041,0.630547986114225,0.4611660184411544,0.8929744384053331,-0.5003122583869791
