scope,family,seed,n_checkpoints,n_units,E_add_total,E_add_U4,E_add_comp,defect_energy_U4_fraction,defect_energy_comp_fraction,Joint_response_U4_energy_fraction
checkpoint,M1,291301,1,101,0.6236036695975781,0.6121478789218444,0.6056491329247697,0.30418072965028803,0.695819270349712,0.35884023289426564
checkpoint,M1,291302,1,101,0.5625441116322806,0.6545822403648519,0.5237259802885347,0.2607986630889418,0.7392013369110577,0.20041000131629907
checkpoint,M1,291303,1,101,0.6767663953623413,0.7294163242343293,0.6833915190576813,0.3179879056088504,0.682012094391149,0.27051296940103087
checkpoint,M2,291501,1,101,0.495119093438525,0.4215538176330057,0.5137865341776815,0.17523996709024836,0.8247600329097515,0.24667939588712653
checkpoint,M2,291502,1,101,0.47122115201029247,0.497623953150727,0.4848012577174963,0.16848261270445913,0.8315173872955408,0.1349827334685919
checkpoint,M2,291503,1,101,0.7093998229389484,0.7042856925686016,0.6601062578870933,0.28736111288155575,0.7126388871184438,0.16667838605415472
family_median,M1,,3,101,0.6236036695975781,0.6545822403648519,0.6056491329247697,0.30418072965028803,0.695819270349712,0.27051296940103087
family_median,M2,,3,101,0.495119093438525,0.497623953150727,0.5137865341776815,0.17523996709024836,0.8247600329097515,0.16667838605415472
