family,seed,n_units,E_full_oracle,E_request_oracle,E_base_oracle,native_coverage,U4_oracle_coverage,single_only_addressable_coverage,single_only_addressable_t19_rmse
M1,291301,101,0.6307940612662466,0.5268418273295257,1.7062857594421916,1.0,0.9405940594059405,0.9108910891089109,0.1567912593250162
M1,291302,101,0.4576506580054913,0.5176509020545152,1.653151080747278,0.9702970297029703,1.0,0.900990099009901,0.09958924412382841
M1,291303,101,0.8112036702443978,0.836920106409399,1.639550995340037,0.9405940594059405,0.8910891089108911,0.8514851485148515,0.16866307004898645
M2,291501,101,0.8109675422314542,0.7375090847951,1.6803379140816546,0.9900990099009901,1.0,0.9504950495049505,0.14902101573051568
M2,291502,101,0.35265152688249984,0.324081730488625,1.8370428969680515,0.9900990099009901,1.0,0.9900990099009901,0.08174910424392004
M2,291503,101,0.7700944950607569,0.7173685106924819,1.5509092256859347,0.9306930693069307,0.9900990099009901,0.9801980198019802,0.12463352086440435
