family,seed,control_type,n_units,intended_M1_median,control_M1_median,separation,fraction_control_worse_than_intended,semantic_pass
M1,291301,sham,101,0.22949061784231425,0.33770818867661684,0.10821757083430258,0.6831683168316832,true
M1,291301,random,101,0.22949061784231425,0.3301377423720948,0.10064712452978056,0.6732673267326733,true
M1,291301,wrong_object,101,0.22949061784231425,0.3296210278669547,0.10013041002464043,0.7029702970297029,true
M1,291301,wrong_vector,101,0.22949061784231425,0.2977279972742748,0.06823737943196054,0.6237623762376238,true
M1,291302,sham,101,0.14833620078140736,0.3368358438037426,0.18849964302233524,0.9801980198019802,true
M1,291302,random,101,0.14833620078140736,0.3327140488974799,0.18437784811607255,0.9405940594059405,true
M1,291302,wrong_object,101,0.14833620078140736,0.33837231850476085,0.1900361177233535,0.9405940594059405,true
M1,291302,wrong_vector,101,0.14833620078140736,0.33766614879178575,0.1893299480103784,0.8910891089108911,true
M1,291303,sham,101,0.27292954275954134,0.33415853188721173,0.061228989127670386,0.6336633663366337,true
M1,291303,random,101,0.27292954275954134,0.3372919751805744,0.06436243242103307,0.6435643564356436,true
M1,291303,wrong_object,101,0.27292954275954134,0.33676178125931816,0.06383223849977682,0.6336633663366337,true
M1,291303,wrong_vector,101,0.27292954275954134,0.29335111128952485,0.020421568529983503,0.5445544554455446,true
M2,291501,sham,101,0.24488075379984894,0.3414703494214062,0.09658959562155725,0.8514851485148515,true
M2,291501,random,101,0.24488075379984894,0.3399679301146494,0.09508717631480043,0.8118811881188119,true
M2,291501,wrong_object,101,0.24488075379984894,0.32374241657524366,0.07886166277539472,0.8316831683168316,true
M2,291501,wrong_vector,101,0.24488075379984894,0.30024255084981477,0.05536179704996583,0.6831683168316832,true
M2,291502,sham,101,0.12455443313980948,0.3364485369953997,0.21189410385559027,0.9108910891089109,true
M2,291502,random,101,0.12455443313980948,0.32655091996009256,0.2019964868202831,0.900990099009901,true
M2,291502,wrong_object,101,0.12455443313980948,0.3283085297256909,0.20375409658588145,0.9207920792079208,true
M2,291502,wrong_vector,101,0.12455443313980948,0.3479055053430587,0.22335107220324923,0.8910891089108911,true
M2,291503,sham,101,0.20426501547567594,0.3427766394053999,0.13851162392972394,0.900990099009901,true
M2,291503,random,101,0.20426501547567594,0.3338291453624638,0.12956412988678784,0.9108910891089109,true
M2,291503,wrong_object,101,0.20426501547567594,0.34411775148226215,0.1398527360065862,0.900990099009901,true
M2,291503,wrong_vector,101,0.20426501547567594,0.33002036954211084,0.1257553540664349,0.7722772277227723,true
