family,seed,n_units,Native_coverage,U4_oracle_coverage,Addressable_coverage,Native_anchor_RMSE,U4_oracle_anchor_RMSE,Addressable_anchor_RMSE,Native_k1_RMSE,U4_oracle_k1_RMSE,Addressable_k1_RMSE,Native_t19_RMSE,U4_oracle_t19_RMSE,Addressable_t19_RMSE,E_full_oracle,E_request_oracle,E_base_oracle
M1,291301,101,1.0,0.9405940594059405,0.9108910891089109,0.02870711389092124,0.034755709476132074,0.04046585538722356,0.03998566155029823,0.043955555365265936,0.04423069166433401,0.1276222659055404,0.14062203821035524,0.1567912593250162,0.6307940612662466,0.5268418273295257,1.7062857594421916
M1,291302,101,0.9702970297029703,1.0,0.900990099009901,0.019157970256402947,0.02773109645114859,0.027582854575981048,0.025600619861424524,0.029108100149265088,0.030078026217403672,0.08170894164759233,0.09398489776174954,0.09958924412382841,0.4576506580054913,0.5176509020545152,1.653151080747278
M1,291303,101,0.9405940594059405,0.8910891089108911,0.8514851485148515,0.03554854044698421,0.043871680389129475,0.04604913352817606,0.040885100791946634,0.04440340753814105,0.05110063329522044,0.1414799457953723,0.15419889818471538,0.16866307004898645,0.8112036702443978,0.836920106409399,1.639550995340037
M2,291501,101,0.9900990099009901,1.0,0.9504950495049505,0.014834207228470482,0.03068575491737841,0.044376788615171844,0.029006587311716226,0.03271792023377471,0.0440406796784444,0.05045679771412295,0.10093737038256595,0.14902101573051568,0.8109675422314542,0.7375090847951,1.6803379140816546
M2,291502,101,0.9900990099009901,1.0,0.9900990099009901,0.014607749814893196,0.01547493126097122,0.023787875685406742,0.0256690217252956,0.024248704644431778,0.02963752054573292,0.048826166784395324,0.05901857821846726,0.08174910424392004,0.35265152688249984,0.324081730488625,1.8370428969680515
M2,291503,101,0.9306930693069307,0.9900990099009901,0.9801980198019802,0.015207109530253508,0.031395308013292,0.03722311207473612,0.029356170608304956,0.03532532132657901,0.043313096637424574,0.051107301898537266,0.11275401188175652,0.12463352086440435,0.7700944950607569,0.7173685106924819,1.5509092256859347
