model_id,stratum,layer,control,denominator,intended_median_anchor,control_median_anchor,dominance_fraction_anchor,intended_median_future,control_median_future,dominance_fraction_future,pair_pass
development_model_1,S1_no_contact,addressable_affine,matched_wrong_vector,256,0.08510572806171665,0.38037736876263906,0.99609375,0.07934712492126106,0.22850538760142736,0.9921875,true
development_model_2,S1_no_contact,addressable_affine,matched_wrong_vector,256,0.19297592566082356,0.3190854237291233,0.85546875,0.13960213399852328,0.2188772278320169,0.88671875,true
development_model_3,S1_no_contact,addressable_affine,matched_wrong_vector,256,0.1900894895771803,0.3582400592603694,0.84375,0.14033229129499564,0.22069283808735693,0.78515625,false
development_model_1,S1_no_contact,native_joint,matched_wrong_vector,256,0.05740353209239775,0.4466057239467074,1.0,0.0699619011198149,0.2454852799896315,1.0,true
development_model_2,S1_no_contact,native_joint,matched_wrong_vector,256,0.0558254053634062,0.41890589952221624,1.0,0.06059591629372445,0.2709079607054232,0.9765625,true
development_model_3,S1_no_contact,native_joint,matched_wrong_vector,256,0.06223785608625815,0.4054568851834198,1.0,0.07265817854653295,0.2410626407734484,0.984375,true
development_model_1,S1_no_contact,rank4_oracle,matched_wrong_vector,256,0.06452850652680116,0.4252904898450165,1.0,0.0804275227554533,0.2406197730084553,0.9765625,true
development_model_2,S1_no_contact,rank4_oracle,matched_wrong_vector,256,0.13357543802779093,0.33017393709034115,0.90234375,0.10617826476764938,0.19749891042481663,0.84765625,true
development_model_3,S1_no_contact,rank4_oracle,matched_wrong_vector,256,0.09912766039465311,0.35210820875272464,0.98828125,0.08302657368554872,0.22275789165607485,0.9921875,true
development_model_1,S2_interaction_sensitive,addressable_affine,matched_wrong_vector,256,0.25366332900103483,0.3054472812261858,0.67578125,0.25297385851173015,0.2960098480946058,0.671875,false
development_model_2,S2_interaction_sensitive,addressable_affine,matched_wrong_vector,256,0.26130948701101275,0.2985405091040998,0.73046875,0.26327774922384706,0.28217952995488893,0.69921875,false
development_model_3,S2_interaction_sensitive,addressable_affine,matched_wrong_vector,256,0.27236885148982215,0.3434854602411396,0.78125,0.2830190755424995,0.3163116230406231,0.734375,false
development_model_1,S2_interaction_sensitive,native_joint,matched_wrong_vector,256,0.23197195819335004,0.3591426536019362,0.8828125,0.21338419180844836,0.33428910995547423,0.87109375,true
development_model_2,S2_interaction_sensitive,native_joint,matched_wrong_vector,256,0.2353135820460877,0.3849681686836267,0.92578125,0.2007634496419925,0.35340788647695615,0.90625,true
development_model_3,S2_interaction_sensitive,native_joint,matched_wrong_vector,256,0.23011359181810623,0.34176545752468035,0.86328125,0.25088608781598387,0.30099907157064915,0.82421875,true
development_model_1,S2_interaction_sensitive,rank4_oracle,matched_wrong_vector,256,0.22896248806739602,0.3585913223057229,0.875,0.21550023871146579,0.32905126518470296,0.86328125,true
development_model_2,S2_interaction_sensitive,rank4_oracle,matched_wrong_vector,256,0.244604009978375,0.40573697907487716,0.921875,0.2065814644129214,0.36020449399551097,0.87109375,true
development_model_3,S2_interaction_sensitive,rank4_oracle,matched_wrong_vector,256,0.2326599600648659,0.3335114387617861,0.83984375,0.23943677826433946,0.30032091332437916,0.83984375,true
development_model_1,S1_no_contact,addressable_affine,no_patch,256,0.08510572806171665,0.33513849663218587,1.0,0.07934712492126106,0.2042617255410482,1.0,true
development_model_2,S1_no_contact,addressable_affine,no_patch,256,0.19297592566082356,0.3361731700499734,0.921875,0.13960213399852328,0.20442309789161833,0.9765625,true
development_model_3,S1_no_contact,addressable_affine,no_patch,256,0.1900894895771803,0.33275006325765394,0.8203125,0.14033229129499564,0.20496638128429712,0.859375,true
development_model_1,S1_no_contact,native_joint,no_patch,256,0.05740353209239775,0.33513849663218587,1.0,0.0699619011198149,0.2042617255410482,1.0,true
development_model_2,S1_no_contact,native_joint,no_patch,256,0.0558254053634062,0.3361731700499734,1.0,0.06059591629372445,0.20442309789161833,1.0,true
development_model_3,S1_no_contact,native_joint,no_patch,256,0.06223785608625815,0.33275006325765394,1.0,0.07265817854653295,0.20496638128429712,1.0,true
development_model_1,S1_no_contact,rank4_oracle,no_patch,256,0.06452850652680116,0.33513849663218587,1.0,0.0804275227554533,0.2042617255410482,1.0,true
development_model_2,S1_no_contact,rank4_oracle,no_patch,256,0.13357543802779093,0.3361731700499734,0.8125,0.10617826476764938,0.20442309789161833,0.87109375,true
development_model_3,S1_no_contact,rank4_oracle,no_patch,256,0.09912766039465311,0.33275006325765394,1.0,0.08302657368554872,0.20496638128429712,1.0,true
development_model_1,S2_interaction_sensitive,addressable_affine,no_patch,256,0.25366332900103483,0.33590269172657106,0.8046875,0.25297385851173015,0.32397930264595165,0.70703125,false
