scope,family,seed,n_checkpoints,n_units,E_add,R_norm,R_norm_error,cos_add,cos_xy
checkpoint,M0,291301,1,101,0.8580403092062596,1.0147687613646335,0.5513703301374007,0.8593900171102355,0.2919974575435617
checkpoint,M0,291302,1,101,0.7563205150434165,1.0036205284353155,0.5111747583728967,0.8778801685416622,0.3485735083109697
checkpoint,M0,291303,1,101,0.8932898035284466,0.8677409452142296,0.6663570604769538,0.8463434091307762,0.19858988888649837
checkpoint,M1,291301,1,101,0.6236036695975767,1.050871600806682,0.32547971058714187,0.9077827727683829,0.021390230550414276
checkpoint,M1,291302,1,101,0.5625441116322792,1.1273986850715794,0.13648967991927133,0.8655444460233955,0.1294956396468699
checkpoint,M1,291303,1,101,0.6767663953623418,0.9856630119986397,0.46742901389031394,0.8805988418797157,0.20057453841152922
checkpoint,M2,291501,1,101,0.49511909343852467,1.0579546172288434,0.13972181096583886,0.9137347814658302,-0.015772050591745492
checkpoint,M2,291502,1,101,0.47122115201029224,0.9800363687385143,0.13524510402915912,0.8962628744141261,0.20397655800582606
checkpoint,M2,291503,1,101,0.7093998229389485,1.027863130397586,0.2810152244986763,0.8274058942739568,0.20973343658986285
family_median,M0,,3,101,0.8580403092062596,1.0036205284353155,0.5513703301374007,0.8593900171102355,0.2919974575435617
family_median,M1,,3,101,0.6236036695975767,1.050871600806682,0.32547971058714187,0.8805988418797157,0.1294956396468699
family_median,M2,,3,101,0.49511909343852467,1.027863130397586,0.13972181096583886,0.8962628744141261,0.20397655800582606
